拉马库斯-阿尔德里奇 LaMarcus Aldridge
凯文-卢尼 Kevon Looney
达米安-琼斯 Damian Jones
伊恩-克拉克 Ian Clark
詹姆斯-迈克尔-麦卡杜 James Michael McAdoo
贾维尔-麦基 JaVale McGee
帕特里克-麦考 Patrick McCaw
马特-巴恩斯 Matt Barnes
德克-诺维茨基 Dirk Nowitzki
哈里森-巴恩斯 Harrison Barnes
韦斯利-马修斯 Wesley Matthews
德怀特-鲍威尔 Dwight Powell
纳伦斯-诺埃尔 Nerlens Noel
德文-哈里斯 Devin Harris
何塞-巴里亚 J.J. Barea
塞思-库里 Seth Curry
萨拉赫-梅杰里 Salah Mejri
尼古拉斯-布鲁西诺 Nicolás Brussino
AJ-哈蒙斯 A.J. Hammons
多里安-芬尼-史密斯 Dorian Finney-Smith
约吉-费雷尔 Yogi Ferrell
贾罗德-尤托夫 Jarrod Uthoff
德安德鲁-利金斯 DeAndre Liggins
安东尼-戴维斯 Anthony Davis
德马库斯-考辛斯 DeMarcus Cousins
朱-霍勒迪 Jrue Holiday
所罗门-希尔 Solomon Hill
欧米尔-阿西克 Omer Asik
伊托万-摩尔 E'Twaun Moore
阿莱克西-阿金萨 Alexis Ajinca
昆西-庞德塞特 Quincy Pondexter
丹特-坎宁安 Dante Cunningham
蒂姆-弗雷泽 Tim Frazier
多纳塔斯-莫蒂埃尤纳斯 Donatas Motiejunas
谢赫-迪亚洛 Cheick Diallo
乔丹-克劳福德 Jordan Crawford
奎因-库克 Quinn Cook
阿克塞尔-唐佩恩 Axel Toupane
迈克-康利 Mike Conley
钱德勒-帕森斯 Chandler Parsons
马克-加索尔 Marc Gasol
扎克-兰多夫 Zach Randolph
布兰登-赖特 Brandan Wright
托尼-阿伦 Tony Allen
文斯-卡特 Vince Carter
特洛伊-丹尼尔斯 Troy Daniels
詹姆斯-恩尼斯 James Ennis III
韦德-鲍德温 Wade Baldwin IV
贾雷尔-马丁 Jarell Martin
杰迈克尔-格林 JaMychal Green
安德鲁-哈里森 Andrew Harrison
小韦恩-塞尔登 Wayne Selden Jr.
德扬泰-戴维斯 Deyonta Davis
詹姆斯-哈登 James Harden
莱恩-安德森 Ryan Anderson
埃里克-戈登 Eric Gordon
特雷沃-阿里扎 Trevor Ariza
路易斯-威廉姆斯 Lou Williams
帕特里克-贝弗利 Patrick Beverley
内内 Nene 
萨姆-德克尔 Sam Dekker
克林特-卡佩拉 Clint Capela
蒙特雷兹-哈勒尔 Montrezl Harrell
鲍比-布朗 Bobby Brown
凯尔-威尔哲 Kyle Wiltjer
齐纳努-欧努阿库 Chinanu Onuaku
以赛亚-泰勒 Isaiah Taylor
特洛伊-威廉姆斯 Troy Williams
